Order_ID,Customer_Name,Product,Category,Quantity,Unit_Price,Total_Amount,Payment_Method,Order_Status,Order_Date,Branch
ORD0061,Andrea Brown,Muffin,Dessert,4,332.07,1328.28,Credit Card,Completed,2025-11-27,Laguna
ORD0062,Clarence Bradley,Cupcake,Bread,9,376.37,3387.33,Cash,Completed,2025-12-01,Cavite
ORD0063,Megan Hernandez,Baguette,Pastry,5,86.86,434.3,Debit Card,Completed,2026-02-27,Laguna
ORD0064,Brooke Holloway,Cheesecake,Bread,3,300.04,900.12,Cash,Completed,2025-12-23,Laguna
ORD0065,Ariana Branch,Cupcake,Bread,7,80.67,564.69,Debit Card,Pending,2025-12-02,Laguna
ORD0066,Marc Stewart,Cupcake,Pastry,3,369.25,1107.75,Debit Card,Completed,2025-07-05,Batangas
ORD0067,Tamara Foster,Croissant,Dessert,10,395.08,3950.8,Debit Card,Completed,2026-04-05,Manila
ORD0068,Shannon Garcia,Brownie,Cake,1,365.55,365.55,Debit Card,Completed,2025-11-26,Manila
ORD0069,Gary Williams,Baguette,Pastry,1,461.86,461.86,Debit Card,Pending,2025-06-09,Batangas
ORD0070,Charles Bowers,Brownie,Dessert,4,209.3,837.2,Debit Card,Cancelled,2026-01-08,Cavite
ORD0071,Stacey Jefferson,Cupcake,Pastry,9,298.62,2687.58,Credit Card,Pending,2026-03-02,Manila
ORD0072,Lindsey Wheeler,Chocolate Cake,Pastry,7,59.85,418.95,Credit Card,Pending,2025-07-05,Cavite
ORD0073,Misty Hunt,Baguette,Bread,5,435.84,2179.2,Cash,Pending,2025-08-22,Cavite
ORD0074,Carla Smith,Croissant,Cake,5,190.74,953.7,Credit Card,Completed,2025-09-03,Cavite
ORD0075,James Velazquez,Brownie,Bread,10,243.69,2436.9,Cash,Completed,2025-09-02,Laguna
ORD0076,Kevin Foster DDS,Cookies,Bread,9,95.49,859.41,GCash,Cancelled,2026-02-22,Cavite
ORD0077,Joshua Martin,Chocolate Cake,Cake,8,487.25,3898.0,GCash,Pending,2026-04-09,Batangas
ORD0078,Joanna Harris,Croissant,Bread,8,188.65,1509.2,Debit Card,Completed,2026-04-01,Manila
ORD0079,Roger Wilson,Banana Bread,Cake,1,55.35,55.35,Debit Card,Completed,2026-04-25,Laguna
ORD0080,Nichole Fry,Muffin,Dessert,2,305.99,611.98,Debit Card,Completed,2025-10-30,Batangas
ORD0081,Patrick Barnes,Brownie,Bread,9,118.8,1069.2,Credit Card,Completed,2025-10-16,Batangas
ORD0082,Tiffany Banks,Baguette,Dessert,8,116.23,929.84,Cash,Completed,2026-01-22,Manila
ORD0083,Mark Sherman MD,Donut,Pastry,7,469.35,3285.45,Debit Card,Pending,2025-10-11,Batangas
ORD0084,Julie Williams,Banana Bread,Cake,10,442.4,4424.0,Debit Card,Completed,2026-04-21,Laguna
ORD0085,Madison Webb,Donut,Cake,7,83.6,585.2,Debit Card,Cancelled,2025-07-29,Batangas
ORD0086,Melissa Williams,Chocolate Cake,Cake,8,450.24,3601.92,GCash,Pending,2025-11-15,Laguna
ORD0087,Paula Long,Cookies,Bread,3,402.33,1206.99,Credit Card,Pending,2025-09-22,Batangas
ORD0088,Gregory Dominguez,Chocolate Cake,Pastry,3,232.71,698.13,GCash,Completed,2025-08-26,Batangas
ORD0089,Mary Gardner,Cheesecake,Cake,4,369.61,1478.44,Credit Card,Completed,2025-11-22,Manila
ORD0090,Christine Marshall,Cupcake,Bread,1,483.96,483.96,Credit Card,Pending,2026-01-04,Manila
ORD0091,Patty Newman,Muffin,Dessert,5,253.84,1269.2,Cash,Completed,2025-09-16,Batangas
ORD0092,Dawn White,Donut,Cake,6,138.8,832.8,Cash,Completed,2026-01-23,Cavite
ORD0093,Adam Miller,Brownie,Dessert,4,106.32,425.28,Cash,Pending,2026-03-14,Laguna
ORD0094,Lori Gray,Cookies,Cake,9,338.61,3047.49,GCash,Pending,2026-01-28,Laguna
ORD0095,Ann Perry,Baguette,Bread,4,327.35,1309.4,Cash,Pending,2026-04-28,Cavite
ORD0096,Timothy Russell,Cupcake,Pastry,2,302.42,604.84,Cash,Pending,2025-07-27,Laguna
ORD0097,Christina Padilla,Muffin,Bread,7,180.7,1264.9,Credit Card,Cancelled,2025-10-07,Cavite
ORD0098,Rodney Walton,Cheesecake,Dessert,6,353.18,2119.08,GCash,Completed,2025-08-25,Batangas
ORD0099,Lauren Mcdaniel,Brownie,Pastry,4,60.26,241.04,Credit Card,Completed,2026-04-21,Laguna
ORD0100,Tammy Wilkinson,Baguette,Pastry,7,300.19,2101.33,GCash,Completed,2025-07-29,Laguna
ORD0101,Tim Kane,Baguette,Dessert,3,150.49,451.47,Debit Card,Pending,2026-03-14,Batangas
ORD0102,Christian Hart,Muffin,Pastry,3,389.41,1168.23,Cash,Cancelled,2025-11-11,Manila
ORD0103,Kristina Ruiz,Cookies,Dessert,2,70.09,140.18,Cash,Completed,2025-12-11,Cavite
ORD0104,Lisa Lynch,Croissant,Dessert,3,197.22,591.66,Debit Card,Pending,2026-03-08,Batangas
ORD0105,Susan Velasquez,Cookies,Bread,10,64.27,642.7,Credit Card,Pending,2025-12-04,Laguna
ORD0106,Samantha Sharp,Muffin,Cake,6,189.65,1137.9,Cash,Cancelled,2025-08-22,Laguna
ORD0107,Bradley Chavez,Chocolate Cake,Dessert,2,296.66,593.32,Cash,Pending,2025-12-05,Manila
ORD0108,Nicole Thompson,Brownie,Bread,3,141.51,424.53,Credit Card,Completed,2026-05-10,Cavite
ORD0109,Nicholas Padilla,Muffin,Dessert,10,281.59,2815.9,Credit Card,Cancelled,2026-03-30,Laguna
ORD0110,Sara Robinson,Cupcake,Dessert,7,264.66,1852.62,Debit Card,Cancelled,2025-05-29,Cavite
ORD0111,Rebecca Smith,Brownie,Pastry,3,97.88,293.64,GCash,Completed,2025-11-17,Manila
ORD0112,Christopher Johnson,Brownie,Pastry,7,339.42,2375.94,Debit Card,Completed,2026-02-07,Laguna
ORD0113,George Lopez,Chocolate Cake,Pastry,3,470.88,1412.64,Cash,Pending,2025-06-13,Batangas
ORD0114,Heather Johnson,Muffin,Cake,9,220.85,1987.65,GCash,Completed,2025-07-20,Manila
ORD0115,Lisa Edwards,Croissant,Cake,10,220.24,2202.4,Cash,Cancelled,2025-07-27,Manila
ORD0116,Robin Patel,Chocolate Cake,Pastry,6,371.88,2231.28,Debit Card,Cancelled,2025-07-04,Manila
ORD0117,Jennifer Smith,Baguette,Pastry,9,197.66,1778.94,Cash,Pending,2026-01-15,Batangas
ORD0118,Tara Mueller,Brownie,Cake,2,389.13,778.26,Debit Card,Completed,2025-09-23,Laguna
ORD0119,Kimberly Hobbs,Muffin,Bread,7,315.74,2210.18,GCash,Cancelled,2026-02-25,Cavite
ORD0120,Matthew Soto,Cheesecake,Bread,6,392.49,2354.94,GCash,Pending,2026-02-24,Manila
ORD0121,Eric Williams,Muffin,Bread,2,98.01,196.02,Credit Card,Pending,2026-02-02,Cavite
ORD0122,Katherine Mcfarland,Banana Bread,Cake,9,306.44,2757.96,Cash,Pending,2025-12-21,Laguna
ORD0123,David Baker,Cheesecake,Pastry,8,369.47,2955.76,GCash,Pending,2025-10-21,Laguna
ORD0124,Christopher Savage,Croissant,Pastry,2,192.28,384.56,GCash,Completed,2026-03-09,Manila
ORD0125,Lisa Mcdowell,Cupcake,Cake,3,178.62,535.86,Cash,Completed,2025-07-22,Manila
ORD0126,Shelby King DVM,Chocolate Cake,Dessert,6,243.1,1458.6,Cash,Completed,2025-07-06,Cavite
ORD0127,Cody Walker,Cookies,Dessert,10,234.43,2344.3,Credit Card,Cancelled,2025-12-24,Laguna
ORD0128,Amanda Velasquez,Chocolate Cake,Dessert,3,461.68,1385.04,Debit Card,Cancelled,2025-11-29,Laguna
ORD0129,Denise Cole,Baguette,Pastry,6,463.31,2779.86,GCash,Cancelled,2025-12-01,Batangas
ORD0130,Sergio Pearson,Cupcake,Cake,5,464.6,2323.0,Cash,Completed,2025-06-11,Laguna
ORD0131,Cole Davis,Baguette,Cake,5,343.2,1716.0,Debit Card,Completed,2026-03-26,Batangas
ORD0132,Adrian Bailey,Donut,Cake,6,268.49,1610.94,GCash,Completed,2026-01-15,Laguna
ORD0133,Michael Williams,Cupcake,Dessert,6,338.66,2031.96,GCash,Cancelled,2025-08-10,Laguna
ORD0134,John Scott,Banana Bread,Dessert,7,141.12,987.84,GCash,Cancelled,2025-07-08,Laguna
ORD0135,James Harvey,Brownie,Cake,8,445.32,3562.56,Credit Card,Completed,2025-11-13,Laguna
ORD0136,Joshua Hawkins,Baguette,Dessert,2,279.7,559.4,Credit Card,Completed,2026-03-30,Laguna
ORD0137,Marie Nichols,Cookies,Cake,5,429.92,2149.6,Credit Card,Completed,2025-10-07,Laguna
ORD0138,Kenneth Merritt,Cookies,Cake,1,495.32,495.32,Debit Card,Pending,2026-04-12,Manila
ORD0139,Yolanda Rhodes,Donut,Cake,10,399.6,3996.0,Debit Card,Completed,2026-05-02,Batangas
ORD0140,Michael Miller,Baguette,Pastry,4,355.15,1420.6,Cash,Cancelled,2026-04-18,Cavite
ORD0141,Christopher Delgado,Cookies,Bread,10,169.78,1697.8,GCash,Cancelled,2026-04-25,Manila
ORD0142,Terry Jimenez,Baguette,Cake,4,488.35,1953.4,GCash,Cancelled,2025-05-27,Cavite
ORD0143,Heather Rodriguez,Brownie,Cake,2,425.57,851.14,Debit Card,Cancelled,2025-08-01,Cavite
ORD0144,Brian Mccoy,Baguette,Dessert,6,397.76,2386.56,Credit Card,Cancelled,2025-05-29,Manila
ORD0145,Susan Owen,Cheesecake,Pastry,10,198.26,1982.6,GCash,Cancelled,2026-04-29,Manila
ORD0146,Jason Cole,Donut,Dessert,4,324.85,1299.4,Cash,Cancelled,2026-03-27,Laguna
ORD0147,Laura Walker,Cheesecake,Dessert,3,337.45,1012.35,Cash,Pending,2026-01-18,Laguna
ORD0148,Samuel Miller,Baguette,Pastry,1,472.8,472.8,Credit Card,Cancelled,2025-11-28,Cavite
ORD0149,Garrett Ward,Banana Bread,Dessert,3,491.01,1473.03,GCash,Completed,2026-04-29,Manila
ORD0150,Amanda Smith,Croissant,Cake,10,57.67,576.7,GCash,Pending,2025-07-23,Batangas
ORD0151,Cynthia Jones,Muffin,Cake,2,220.94,441.88,GCash,Completed,2025-09-19,Batangas
ORD0152,Derek Frost,Baguette,Dessert,2,209.47,418.94,Credit Card,Cancelled,2025-12-30,Cavite
ORD0153,Ashley Silva,Muffin,Cake,10,297.12,2971.2,Debit Card,Pending,2025-10-24,Manila
ORD0154,Vicki Morgan,Croissant,Bread,1,395.3,395.3,Debit Card,Pending,2025-09-02,Batangas
ORD0155,William French,Cheesecake,Bread,2,107.19,214.38,Credit Card,Cancelled,2025-08-12,Manila
ORD0156,Carlos Smith,Chocolate Cake,Bread,6,392.19,2353.14,Credit Card,Pending,2025-06-15,Batangas
ORD0157,Ronald Bradley,Croissant,Cake,8,99.98,799.84,Credit Card,Cancelled,2026-01-17,Batangas
ORD0158,Jeffery Miles,Croissant,Pastry,8,238.72,1909.76,Credit Card,Cancelled,2026-03-15,Laguna
ORD0159,David Massey,Cheesecake,Cake,7,70.56,493.92,Cash,Cancelled,2025-12-14,Batangas
ORD0160,Jennifer Martin,Banana Bread,Cake,8,149.02,1192.16,Cash,Pending,2026-01-03,Cavite
ORD0161,Kevin Gonzales,Cookies,Bread,6,238.8,1432.8,Debit Card,Completed,2025-10-17,Cavite
ORD0162,Michael Shaffer,Baguette,Bread,6,174.23,1045.38,Debit Card,Cancelled,2026-04-18,Cavite
ORD0163,Meagan Morris,Banana Bread,Bread,2,494.38,988.76,Debit Card,Completed,2025-12-18,Laguna
ORD0164,Holly Rogers,Muffin,Pastry,3,441.41,1324.23,Credit Card,Pending,2025-06-11,Laguna
ORD0165,Scott Sanchez,Cheesecake,Bread,8,292.05,2336.4,Credit Card,Completed,2025-05-28,Batangas
ORD0166,Valerie Vang,Muffin,Bread,5,147.88,739.4,Credit Card,Pending,2025-10-06,Batangas
ORD0167,Thomas Burns,Cupcake,Bread,3,140.49,421.47,Debit Card,Pending,2025-08-31,Cavite
ORD0168,Theresa Alvarado,Muffin,Bread,3,222.44,667.32,Cash,Pending,2025-05-30,Laguna
ORD0169,Shirley Trujillo,Muffin,Pastry,10,209.13,2091.3,Credit Card,Cancelled,2025-10-25,Laguna
ORD0170,Emily Hunter,Chocolate Cake,Cake,1,179.0,179.0,Cash,Cancelled,2026-03-10,Laguna
ORD0171,Kendra Wilkerson,Croissant,Cake,9,100.51,904.59,Debit Card,Pending,2025-07-28,Cavite
ORD0172,Willie Jordan Jr.,Croissant,Bread,5,69.0,345.0,Credit Card,Completed,2025-09-26,Batangas
ORD0173,Timothy Smith,Cookies,Pastry,10,444.63,4446.3,Credit Card,Cancelled,2025-06-03,Batangas
ORD0174,Destiny Miller,Baguette,Pastry,8,429.81,3438.48,GCash,Pending,2026-03-24,Cavite
ORD0175,Anthony Meyers,Muffin,Bread,5,388.1,1940.5,GCash,Completed,2026-02-18,Cavite
ORD0176,Jesse Mayer,Banana Bread,Dessert,5,221.57,1107.85,Credit Card,Cancelled,2025-07-31,Manila
ORD0177,Ralph Jimenez,Banana Bread,Bread,2,145.93,291.86,Cash,Cancelled,2025-06-17,Cavite
ORD0178,Matthew Martinez,Baguette,Bread,4,412.74,1650.96,Debit Card,Completed,2025-08-26,Manila
ORD0179,Robert Anderson,Muffin,Cake,1,392.26,392.26,Credit Card,Completed,2025-11-28,Batangas
ORD0180,George Ellis,Banana Bread,Bread,6,113.91,683.46,Credit Card,Pending,2025-10-25,Manila
ORD0181,Crystal Gay,Baguette,Cake,3,384.34,1153.02,Credit Card,Completed,2025-11-13,Batangas
ORD0182,Dustin Farmer,Cheesecake,Bread,6,391.25,2347.5,Credit Card,Pending,2026-02-04,Batangas
ORD0183,Elizabeth Sampson,Chocolate Cake,Pastry,10,339.81,3398.1,Cash,Pending,2025-08-07,Laguna
ORD0184,Samantha Bautista,Brownie,Dessert,2,305.62,611.24,Cash,Completed,2026-04-23,Manila
ORD0185,Chelsey Figueroa MD,Brownie,Dessert,4,488.36,1953.44,Cash,Completed,2025-07-19,Batangas
ORD0186,Marie Gray,Baguette,Pastry,7,174.68,1222.76,GCash,Completed,2026-03-10,Cavite
ORD0187,Catherine Hall,Cupcake,Dessert,5,225.74,1128.7,Credit Card,Pending,2025-10-07,Batangas
ORD0188,Joseph Mendoza,Croissant,Dessert,10,113.84,1138.4,Cash,Completed,2025-08-12,Manila
ORD0189,Diane Robertson,Cupcake,Dessert,5,205.85,1029.25,Debit Card,Cancelled,2026-05-04,Laguna
ORD0190,Shelby Matthews,Croissant,Dessert,1,297.74,297.74,Credit Card,Cancelled,2026-02-12,Cavite
ORD0191,Jeremy Mccullough,Muffin,Dessert,7,384.3,2690.1,GCash,Completed,2025-10-20,Cavite
ORD0192,Lucas Thompson,Muffin,Pastry,10,60.4,604.0,Cash,Completed,2025-11-18,Laguna
ORD0193,Mr. Christopher Garcia,Donut,Bread,4,299.1,1196.4,GCash,Cancelled,2025-06-08,Batangas
ORD0194,Mary Garrett,Cheesecake,Cake,2,135.08,270.16,Debit Card,Completed,2026-02-25,Manila
ORD0195,Kathy Pierce,Banana Bread,Dessert,3,156.01,468.03,Credit Card,Pending,2025-07-21,Cavite
ORD0196,Douglas Dickson,Donut,Cake,2,113.35,226.7,Cash,Pending,2026-02-25,Cavite
ORD0197,William Brown,Banana Bread,Cake,8,311.18,2489.44,GCash,Pending,2026-03-30,Cavite
ORD0198,Timothy Ortiz,Brownie,Pastry,9,234.02,2106.18,Credit Card,Cancelled,2026-01-20,Cavite
ORD0199,Benjamin West,Brownie,Pastry,9,214.18,1927.62,GCash,Cancelled,2025-06-14,Laguna
ORD0200,John Mcintosh,Baguette,Dessert,3,401.91,1205.73,Credit Card,Pending,2025-12-23,Laguna
ORD0201,Patricia Lopez,Cupcake,Dessert,10,306.61,3066.1,GCash,Cancelled,2025-07-21,Manila
ORD0202,Danielle Flores,Banana Bread,Bread,5,229.75,1148.75,Credit Card,Completed,2026-03-05,Batangas
ORD0203,Gregory Bray,Cheesecake,Pastry,1,324.28,324.28,Credit Card,Completed,2025-10-03,Cavite
ORD0204,Kyle Wiley,Baguette,Dessert,5,469.98,2349.9,Cash,Completed,2026-01-12,Laguna
ORD0205,Ronald Lane,Cupcake,Pastry,10,226.32,2263.2,Cash,Pending,2026-04-10,Laguna
ORD0206,Rebecca Taylor,Croissant,Bread,8,120.95,967.6,Debit Card,Pending,2025-06-07,Manila
ORD0207,Yolanda Romero,Cookies,Bread,4,137.66,550.64,Debit Card,Cancelled,2026-03-01,Manila
ORD0208,Carl Thornton,Baguette,Dessert,1,473.95,473.95,Cash,Pending,2026-02-28,Manila
ORD0209,Rachel Yates,Cheesecake,Cake,3,438.31,1314.93,GCash,Cancelled,2026-05-04,Laguna
ORD0210,Carlos Cox,Banana Bread,Pastry,6,343.14,2058.84,GCash,Pending,2025-12-17,Manila
ORD0211,April Fisher,Cupcake,Pastry,6,492.57,2955.42,Debit Card,Cancelled,2026-02-17,Manila
ORD0212,Timothy Curry,Banana Bread,Dessert,8,216.94,1735.52,Cash,Cancelled,2025-11-12,Manila
ORD0213,Stephanie Andrade,Donut,Bread,8,362.75,2902.0,Debit Card,Pending,2026-04-12,Laguna
ORD0214,Lori Roberts,Donut,Bread,7,209.33,1465.31,Debit Card,Cancelled,2025-09-04,Cavite
ORD0215,Angela Mcbride,Baguette,Dessert,10,53.52,535.2,Cash,Completed,2025-08-28,Manila
ORD0216,Aaron Vaughan,Chocolate Cake,Pastry,10,380.71,3807.1,Credit Card,Cancelled,2025-10-30,Manila
ORD0217,Amanda Leach,Donut,Dessert,3,487.85,1463.55,Credit Card,Pending,2026-03-29,Laguna
ORD0218,Elijah Manning,Chocolate Cake,Dessert,8,367.91,2943.28,GCash,Completed,2025-06-03,Laguna
ORD0219,Peter Estrada,Chocolate Cake,Bread,3,317.7,953.1,GCash,Cancelled,2025-07-27,Manila
ORD0220,Michele Murray,Donut,Cake,2,193.65,387.3,Credit Card,Pending,2025-09-15,Cavite
ORD0221,Kim Hansen,Croissant,Bread,7,316.93,2218.51,GCash,Cancelled,2026-04-30,Manila
ORD0222,Courtney Smith,Cookies,Cake,9,91.05,819.45,GCash,Pending,2026-01-26,Manila
ORD0223,Kyle Burke,Chocolate Cake,Dessert,1,350.11,350.11,Cash,Completed,2026-03-03,Cavite
ORD0224,Jade Olsen,Croissant,Dessert,8,468.66,3749.28,Credit Card,Pending,2025-08-06,Manila
ORD0225,Leslie Petersen,Muffin,Pastry,4,382.77,1531.08,Cash,Cancelled,2025-06-12,Manila
ORD0226,Vincent Ramirez,Cheesecake,Pastry,3,495.46,1486.38,Credit Card,Cancelled,2025-12-02,Batangas
ORD0227,Tammy Brown,Chocolate Cake,Bread,10,437.76,4377.6,Credit Card,Pending,2025-12-02,Laguna
ORD0228,Anthony Burns,Cookies,Bread,4,84.82,339.28,Credit Card,Pending,2026-01-30,Batangas
ORD0229,Larry Davenport,Cupcake,Dessert,1,168.64,168.64,GCash,Pending,2025-09-09,Cavite
ORD0230,Kayla Stewart,Croissant,Bread,7,105.98,741.86,Credit Card,Pending,2025-08-16,Laguna
ORD0231,Scott Ramirez,Brownie,Dessert,5,156.32,781.6,Credit Card,Completed,2025-10-01,Manila
ORD0232,William Guerrero,Cookies,Pastry,8,185.75,1486.0,Credit Card,Completed,2026-03-18,Manila
ORD0233,Mr. Caleb Wood,Brownie,Pastry,7,70.17,491.19,Credit Card,Cancelled,2025-11-24,Batangas
ORD0234,Jacqueline Dillon,Brownie,Pastry,6,269.86,1619.16,Credit Card,Cancelled,2026-01-14,Batangas
ORD0235,Brittany Gonzalez,Muffin,Pastry,1,326.34,326.34,Cash,Pending,2026-03-04,Laguna
ORD0236,Jessica Miranda,Cupcake,Pastry,6,450.6,2703.6,GCash,Pending,2025-06-11,Manila
ORD0237,Wendy Stevenson,Donut,Bread,6,128.41,770.46,Credit Card,Pending,2025-09-24,Laguna
ORD0238,Robert Anderson,Baguette,Pastry,5,453.55,2267.75,Debit Card,Cancelled,2025-07-21,Laguna
ORD0239,Robert Thompson,Banana Bread,Dessert,3,256.15,768.45,Credit Card,Cancelled,2025-06-16,Batangas
ORD0240,Donna Jordan,Donut,Dessert,9,98.82,889.38,GCash,Pending,2025-11-07,Manila
ORD0241,Anthony Hale,Cupcake,Cake,3,302.44,907.32,Credit Card,Cancelled,2025-11-16,Manila
ORD0242,Helen Dickerson,Muffin,Dessert,10,241.78,2417.8,Credit Card,Completed,2025-07-30,Laguna
ORD0243,Jamie Anderson DDS,Croissant,Bread,5,160.34,801.7,Credit Card,Pending,2025-10-24,Manila
ORD0244,Caroline Richards,Banana Bread,Dessert,5,311.22,1556.1,Cash,Pending,2025-09-25,Laguna
